 Incident number, Incident category, Incident sub-category, Year Month (YYMM), Date of IncidentD, Time of IncidentMT, Method Incident Notified, Callers Statement,Location,Complex ,Street,Suburb,Town ,Map Page,Grid ,Robot route used ,Cross roads,Statistics area,Station Area,Vehicles - Elapsed Times MT,FPA Classification,FPA Occupancy ,Weather ,Wind ,Temperature,What Was Burning ,Description of Incident,Actions Prior To Arrival,Actions of Brigade,Equipment used,FPA Suspected Cause ,Details of cause ,Water Used (Charged)MR,Water Used (Uncharged)MR,Source of water,Pumping Time Hh:mm MT,Fire Damage - Details,Smoke Damage - Details ,Water Damage - Details ,Forced Entry,Accident Vehicles - Make,Accident Vehicles - Details,Accident Vehicles - Owners,Person Involved - Sex,Person Involved - Age,Person Involved - Injury,Person Involved - Rescued ,Person Involved - Fatal,Person Involved - Comments,Total Fatal Adult\child,Remarks ,Account for,Material Usage Description,Material Usage Charge,District,Station/S Responded ,Fire Category ,No. Sectors Implemented,Zones Implemented,Holding Area/S,Number of linked exposures,Incident Management (Y/N) ,Enumerator area,Situation found,Type of action taken,Mutual Aid ,Ignition factor,Area of origin,Level of fire origin,Form of heat,Type material ignited,Form material ignited,Method extinguished ,Flame damage,Smoke damage,Detector performance,Sprinkler performance,Property use,Complex ,Number of stories,Construction type,Mobile Property type,Equip inv in ignition,Equipment year,Equipment make,Equipment model,Civilian or Fire Service,Time of Injury,Casualty type ,Severity,Affiliation,Familiarity with structure,Location at ignition,Condition before injury,Condition preventing escape,Activity at time injury,Cause of injury,Nature of injury ,Part of body injured,Disposition,Assignment ,Num responses prior injury,Physical condition,Status before Alarm ,Fireman Activity ,Where injury occurred,Cause of Injury,Medical care provided,Clothing/Equip Worn ,Clothing/Equip Status,Clothing/Equip problem ,Hazmat Actions,Area of Release,Level of Release ,Release Factors,Equipment involved in Release,Est num of chemicals/Hazmat,Disposition of incident,Ref Mat used to identify,Chem/Hazmat Trade Name ,UN Number,Physical state stored,Extent of Release,Physical State Released,Quantity Released,Released Unit of Measure,Suspected contamination,Container use ,Special container features,Container Type,Container material,Container capacity,Container Unit of measure ,Transport Type,NESD update control 
F1606/0591,Commercial,Offices,1606,06/11/2016,15:21|15:24|15:24|15:24,"13|Direct 107""|Direct ""107"" call|D""",Handdryer Attached To A Building Alight,Virgin Active,,MORGENSTER ROAD,WELTEVREDEN VALLEY,MITCHELLS PLAIN,82,CQ/43,,VANGUARD DRIVE,,F=MPN,00:18|00:15|00:16|00:11,False Alarm - Good Intent,Commercial|Offices,,,,,False Alarm,Dry Powder Extinguisher Used By Occupants To Extinguish Fire,Ensured Fire Was Out,Nil,,False Alarm With Good Intent Due To Short Circuit Of Electrical Wiring Inside Electrical Wall Hand Dryer Overheating And Emitting Smoke And Being Mistaken For Building Alight.,,,,,,,,,,,,,,,,,,,1,,,,East,Mitchells Plain|Guguletu,Category 1|No Charge,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F1604/0420,Commercial,Offices,1604,04/08/2016,06:43|06:46||06:44,11|Telephone direct|Telephone|T,Vegetation Alight,G.H. PULSE,,POWER STREET,STRAND,HELDERBERG,121,CZ/73,,,,F=SND,01:11|01:06|00:20|01:08|01:22|01:20|00:03,Fire - manually extinguished,Commercial|Garages & Workshops,Fine,Nil,15 - 20 Deg,Insulation In Electrical Wiring.,Minor Structural Fire,,Extinguished Wiht One Jet From E27 Motor Pump (2820 Litres).,"2 X 45mm Fire Hose, 1 X Thermal Imaging Camera, 1 X Akron Branch, 4 X Scba Setsa (10 Minutes) & 1 X Ppv (15 Minutes).",Electrical Faults,Sparks From Short Circuit In Electrical Wiring Igniting Insulation.,2820,,MP,12:10:00 AM,"Building: Walls And Floor Severe By Fire, Haeat, Smoke And Water Remainder Slight By Smoke Only.|Contents: Contents Consisting Of Pvc Mouldings Severe By Fire, Heat, Smoke And Water And Remainder Slight By Smoke Only.",,,Front Door And Security Gate On Ground Floor Pried Open As Well As Door On The Mezzanie Floor.,,,,,,,,,,,1,1,,,East,Strand|Somerset West,Category 3|Industrial (Moderate Risk),,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1524180529
F1606/0767,Commercial,Department Stores,1606,06/14/2016,14:44|14:46|14:46|14:46,11|Telephone direct|Telephone|T,Rubbish And Grass Alight,BLUE ROUTE MALL,,"2 VANS ROAD, DREYERSDAL",TOKAI,SOUTH PENINSULA,86,CS/27,,VANS ROAD,,F=LKE,01:01|00:35|00:31|00:18,Fire - manually extinguished,Commercial|Department Stores,Raining,Light Breeze,10 - 15 Deg,Led Light Shop Name Sign Board At Side Of Building,Minor Structural Fire,Security Personnel Tried To Extinguish Fire With D C P Fire Extinguishers.,Extinguished Fire With One Fog Jet From E01 A Motor Pump.,One Hose Reel.,Electrical Faults,Sparks From Electrical Short Circuit In Led Light Shop Name Sign Board Igniting Insulation.,100,,MP,12:05:00 AM,"One Led Light Shop Name Sign Board And A Section Of Exterior Wall Seve By Fire, Heat, Smoke And Water.Remainder Of Build Nil.",,,,,,,,,,,,,,1,1,,,West,Lakeside|Constantia|Roeland Street,Category 2|Commercial (Low Risk),,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1529222595
F1606/0777,Commercial,Shop,1606,06/14/2016,20:08|20:09|20:09|20:09,11|Telephone direct|Telephone|T,Neon Sign Attached To Shop Alight,Pick N Pay Shop,,MAIN ROAD (M6),HOUT BAY,SOUTH PENINSULA,117(14TH EDITION),CN/16,,,WARD 74 ( SC 16 ),F=HBY,00:21|00:10|00:21,Fire - manually extinguished,Commercial|Shops,Overcast,Moderate,0 - 10 Deg,Neon Sign Infront Of Shop,Minor Structural Fire,Extinguished By Workers Before Arrival Of Brigade.,Made Sure Area Is Safe,Nil,Electrical Faults,Short Circuit In Neon Sign Ignited Plastic Cover.,,,,,"The Letter e"" Of Pic N Pay Express Damaged""",Slight Smoke Damage On Front Wall,,,,,,,,,,,,,,,,,West,Hout Bay,Category 1|No Charge,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1529842707
F1606/0850,Commercial,Shop,1606,06/16/2016,18:32|18:33|18:33|18:33,11|Telephone direct|Telephone|T,Shop Alight,WILLOWBRIDGE CENTRE,,TYGERBERGVALLEY ROAD,KENRIDGE,BELLVILLE,27,BU/48,,OLD OAK ROAD,,F=BVL,00:49|00:46|00:44,Fire - manually extinguished,Commercial|Shops,Overcast,Light Breeze,0 - 10 Deg,1x Neon Sign,Minor Structural Fire,Nil,Fire Extinguished With One Fog Jet From Echo 04,1x Hose Reel,Electrical Faults,Electrical Short Circuit,500,,MP,12:27:00 AM,"1x Neon Sign Severe By Fire, Heat And Smoke",,,,,,,,,,,,,,,1,,,North,Durbanville|Bellville,Category 2|Commercial (Low Risk),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1529395239
F1604/0447,Commercial,Shop,1604,04/08/2016,14:48|14:49|14:49|14:50,11|Telephone direct|Telephone|T,Shopping Centre Alight,HOWARD CENTRE,,HOWARD WAY,PINELANDS,CAPE TOWN,28,CC/34,,FOREST DRIVE,,F=EPG,01:31|01:42|00:33,Fire - manually extinguished,Commercial|Shops,Clear,Light Breeze,25 - 30 Deg,Dust In Ventilation Duct And Insulation Around Ventilation Ducts,Minor Structural Fire,Security Staff Attempted To Extinguish The Fire With Hosereel.,Extinguished The Remainer Of The Fire With One Fog Jet From Echo 14 Motor Pump.,1 X Hosereel,Heating,Heat Air In Ventilation Ducts Ignited Dust.,,600,MP|PH,12:05:00 AM,"Building: Section Of Wooden Fascia Boards, Windows And Ventilation Duct Insulation Severe By Fire, Heat, Smoke And Water.",,,,,,,,,,,,,,1,1,,,North,Epping|Brooklyn,Category 3|Commercial (Moderate Risk),,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1523539736
F1606/1053,Commercial,Other,1606,06/21/2016,02:15|02:17|02:17|02:17,11|Telephone direct|Telephone|T,Smoke Coming From A Building,,,PAROW STREET,PAROW,TYGERBERG,38/39,BY/42/43,,Station Street,,F=GWD,02:02|02:09|02:07|01:08,Fire - manually extinguished,Commercial|Shops,Fine,Light Breeze,0 - 10 Deg,"Shop Furniture, Hair Products And Personal Effects Etc",Minor Structural Fire,,Forced Entry And Extinguished Fire With 1 X Jet From E05 M/Pump.,"3 X S.C.B.A, Carborandum Cutter, 1 X 65mm And 1 X 45mm Hose, Ppv Fan And Thermal Camera",Electrical Faults,"Supect Sparks From Short Circuit In Electrical Wiring, Arcing And Igniting Insulation.",,,MP,,"Building: Shop No.4: Ceiling, Walls And Floor Severe By Fire, Heat, Smoke, And Water.|Contents: Fridge, Furniture And Hair Products And Personal Effects Etc Severe By Fire, Heat, Smoke, And Water.","Building: Remainder Shops: Ceilings, Walls And Floor Slight By Smoke Only.|Contents : Remainder Shops: Furniture, Fridges Stock And Personal Effects Etc Slight By Smoke Only.",,Brigade Forced Entry Through Metal Roller Shutter Door And Security Gates With The Use Of Carborandum Cutter.,,,,,,,,,,,1,1,,,North,Bellville|Belhar|Goodwood,Category 2|Commercial (Low Risk),,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1529745310
F1606/1116,Commercial,Offices,1606,06/22/2016,10:02|10:04|10:04|10:04,11|Telephone direct|Telephone|T,Smoke Coming From The Roof And A Computer,Fish Hoek Traffic,,RECREATION ROAD,FISH HOEK,SOUTH PENINSULA,186(14TH EDITION),DB/24,,,,F=FSH,00:37|00:49|00:26|00:33,Fire - manually extinguished,Commercial|Offices,Fine,Light Breeze,10 - 15 Deg,Insulation Of Electrical Wiring Of Central Processor Unit And Personal Computer.,Miscellaneous,Employee Isolated Power By Tripping Main Distribution Board Switch.,Ensured Area Safe.,Thermal Imaging Camera; Short Extension Ladder.,Electrical Faults,Suspected Electrical Short Circuit.,,,,,"Damage To C.P.U, Personal Computer And Electrical Wiring Due To Short Circuit.",,,No,,,,,,,,,,,1,1,,,West,Fish Hoek|Lakeside,Category 3|Commercial (Moderate Risk),,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1529917335
F1606/1296,Commercial,Shop,1606,06/25/2016,19:23|19:25|19:25|19:25,11|Telephone direct|Telephone|T,Electrical Box Attach To The Bulding Alight,Pinehurst Mall,,BRACKENFELL BLVD,PINEHURST,DURBANVILLE,47,BQ/55,,,WARD 103 ( SC 7 ),F=KFN,00:31|00:29|00:27,Fire - manually extinguished,Commercial|Department Stores,,,,,Minor Structural Fire,Pick N Pay Staff Extinguished The Electrical Sign Box On Exterior Wallof The Building By Means Of An Internal Hosereel.,Stood By To Make Sure Area Was Safe.,Nil From Brigade.,Electrical Faults,Suspected Electrical Short On Wiring.,,,,,Exterior Light Box Of Clicks Burned.,,,,,,,,,,,,,,1,,,,North,Kraaifontein|Durbanville,Category 1|No Charge,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F1606/1318,Commercial,Offices,1606,06/25/2016,23:26|23:28|23:28|23:28,11|Telephone direct|Telephone|T,"Offices Alight, Surgery On Premises",Surgery,,BALVENIE ROAD,ELSIES RIVIER,ELSIES RIVER,86/87,"CB/42,43",,CONNAUGH,,F=BHR,00:30|00:35|00:33,False Alarm - Good Intent,N/A,,,,,False Alarm,,,,,False Alarm With Good Intent Due To Steam From An Overflowing Geyser Being Mistaken For A Building Alight.,,,,,,,,,,,,,,,,,,,,,,,North,Goodwood|Epping|Belhar,Category 1|No Charge,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F1606/1349,Commercial,Restaurant/Cafe,1606,06/26/2016,10:12|10:15|10:15|10:15,11|Telephone direct|Telephone|T,"Water Flooding, Now Smoke Issuing And The Caller Is Not Sure Where The Seat Of The Fire Is Or What Is Causing The Smoke",Col Cacchio,CANAL WALK,CENTURY BOULEVARD,SANDDRIFT,BLAAUWBERG,57,BW;BX/34,,RATANGA ROAD,CENTURY CITY,F=MIL,01:51|01:53|01:38,Fire - manually extinguished,Commercial|Restaurants & Cafes,Clear,Nil,15 - 20 Deg,Section Of Aircon Duct,Minor Structural Fire,,Extinguished With 1 Internal Hosereel,Nil,Heating,Overheated Grease Resudue Inside Duct Of Pizza Oven Ignting,,2400,PH,12:20:00 AM,"Building - Col Cacchio Pizzeria On Ground Floor - Section Of Air Con Duct Severe By Fire, Heat Smoke And Water|Contents Nil",,,,,,,,,,,,,,1,1,,,North,Milnerton,Category 2|Commercial (Low Risk),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1530221048
F1606/1417,Commercial,Shop,1606,06/27/2016,13:27|13:29|13:29|13:29,"13|Direct 107""|Direct ""107"" call|D""",Shop Alight,,,Halt Road,ELSIES RIVIER,ELSIES RIVER,30,BZ/40,,8th Avenue,,F=EPG,00:29|00:23|00:33,Fire - automatically extinguished,Commercial|Shops,Overcast,N/A,10 - 15 Deg,Television,Minor Structural Fire,Occupier Extinguished Fire With Dry Powder Extinguisher Prior To The Arrival Of The Brigade,Rendered Area Safe,,Electrical Faults,Sparks From Short Circuit In Electrical Wirng Igniting Insulation And Television,,,,,"Building: Room At Rear Wall And Floor Slght By Fire, Heat And Water|Remainder Nil|Contents: Television Severe By Fire, Heat, Smoke And Water|Remainder Nil",,,,,,,,,,,,,,,1,,,North,Goodwood|Epping|Milnerton,Category 2|Shops (<250 M2),,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1530283472
F1606/1443,Commercial,Restaurant/Cafe,1606,06/28/2016,03:27|03:30|03:30|03:30,11|Telephone direct|Telephone|T,Smell Of Smoke And Grey Visibilty In Complex,Strand Square,,MILLS STREET,STRAND,HELDERBERG,114,CW 74,,Fagan,,F=SND,00:59|00:25|00:59|00:26,Fire - manually extinguished,Commercial|Restaurants & Cafes,Fine,Nil,10 - 15 Deg,Insulation In Electrical Wiring.,Miscellaneous,,Extinguished Fire With Two Co2 Fire Extinguishers (Owner).,2 X C02 Fire Extinguishers (Owner) & 1 X Ppv (15 Minutes).,Electrical Faults,Sparks From Short Circuit In Electrical Wiring Igniting Insulation.,0,,,12:00:00 AM,"Contents: Commercial Dishwasher Severe By Fire, Heat, Smoke And Water And Remainder Slight By Smoke Only.",,,,,,,,,,,,,,,,,,East,Strand|Somerset West,Category 2|Commercial (Low Risk),,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1530604652
F1606/1457,Commercial,Shop,1606,06/28/2016,09:29|09:31|09:31|09:31,11|Telephone direct|Telephone|T,Oven In The Bakery Alight,West Coast Village,,SANDOWN ROAD,SUNNINGDALE,BLAAUWBERG,25(14TH EDITION),BN/31,,Otto Du Plessis,WARD 107 ( SC 1 ),F=MIL,01:51|01:44|00:33|01:40,Fire - manually extinguished,Commercial|Shops,Clear,Nil,15 - 20 Deg,Electrical Wiring Etc.,Minor Structural Fire,,Extinguished: With One Internal Hosereel,1 X Internal Hosereel (15 Mins ),Electrical Faults,Sparks From Short Circuit In Electrical Wiring Overheating And Igniting Insulation,,,,,"Building: Bakery At Side: Slight By Heat, Smoke And Water Only.|Contents: Baking Oven Severe By Fire, Heat, Smoke And Water. Remainder Of Contents Slight By Smoke And Water Only.",,,,,,,,,,,,,,,1,,,North,Milnerton|Melkbos,Category 2|Commercial (Low Risk),,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1530366949
F1606/1499,Commercial,Department Stores,1606,06/28/2016,22:44|22:47|22:47|22:47,11|Telephone direct|Telephone|T,Smoke Issuing,TYGERVALLEY CENTRE,,BILL BEZUIDENHOUT,BELLVILLE,TYGERBERG,19,"BU,BV/49",,CHARL CRONJE,,F=BVL,00:24|00:24|00:24,False Alarm - Good Intent,Commercial|Department Stores,,,,,False Alarm,,Investigating Building,,,,,,,,,,,,,,,,,,,,,,1,,,,North,Bellville|Durbanville,Category 1|No Charge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F1606/1521,Commercial,Offices,1606,06/29/2016,12:43|12:45|12:45|12:45,"13|Direct 107""|Direct ""107"" call|D""",Fire In The Server Room,Pinacle Building,,BURG STREET,CENTRAL,CAPE TOWN,34,CA/23,,Strand Street,,F=RDS,00:44|00:53|00:45|00:52,Fire - automatically extinguished,Commercial|Offices,Fine,Nil,10 - 15 Deg,Electrical Ballast,Miscellaneous,,Evacuated Floors 14 To 18,Nil,Electrical Faults,Eletrical Ballast Burnt,,,,,,,,,,,,,,,,,,,1,,,,West,Roeland Street|Sea Point,Category 1|No Charge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1530629317
F1606/1551,Commercial,Shop,1606,06/30/2016,03:21|03:22|03:22|03:22,"13|Direct 107""|Direct ""107"" call|D""",Bakery Alight,Something Nice Bakery,,CARAVELLE ROAD,ROCKLANDS,MITCHELL'S PLAIN,144(14TH EDITION),CS/46/47,,PARK AVENUE,,F=MPN,00:45|00:29|00:24|00:15,Fire - manually extinguished,Commercial|Shops,Clear,Light Breeze,10 - 15 Deg,Display Cabinet Inside Bakery.,Minor Structural Fire,Saps In Attendance.,Gained Access By Cutting Locks And Extinguished Fire With One Fog Jet From E34(100l),Bolt Cutters And One Fog Jet.,Arson,"Arson, Saps Investigating. (Robbery)",100,,MP,12:02:00 AM,Floors Damaged By Flames And Smoke Damage In Entire Shop. Display Cabinets And Stock Damaged By Fire. Brigade Cutt Locks To Gain Access To Shop.,,,,,,,,,,,,,,1,,,,East,Mitchells Plain,Category 2|Commercial (Low Risk),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1530522050
F1606/1567,Commercial,Restaurant/Cafe,1606,06/30/2016,11:12|11:14|11:14|11:14,"13|Direct 107""|Direct ""107"" call|D""",Akki Fast Foods Alight,NYANGA JUNCTION SHOPPING CENTRE,,DUINEFONTEIN ROAD,MANENBERG,CAPE TOWN,75,CK/40,,0PP0SITE - THE DOWNS,,F=GTU,00:58|00:01|00:01|00:18|00:20,Fire - manually extinguished,Commercial|Restaurants & Cafes,Clear,Light Breeze,15 - 20 Deg,Deep Fryer,Minor Structural Fire,Fire Extinguished By Sprinkler System,Ensured Area Safe And Shut Down Sprinkler System,,Cooking,Oil In Deep Fryer Caught Alight,,,,,"Building: Floors, Walls And Ceilling In Take Away Shop Slight By Smoke And Water Only. Contents: Feep Fryer Partial By Fire, Heat, Smoke And Water",,,,,,,,,,,,,,1,,,,East,Guguletu,Category 2|Commercial (Low Risk),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1531163927
F1606/1596,Commercial,Shop,1606,06/30/2016,20:11|20:14|20:14|20:14,11|Telephone direct|Telephone|T,Shop Alight,Avonwood Spar,,BALVENIE ROAD,ELSIES RIVIER,ELSIES RIVER,86/87,"CB/42,43",,35TH,,F=BHR,00:51|00:18|00:11|00:13,False Alarm - Good Intent,Commercial|Shops,,,,,,,"Forced Entry By Cutting A Padlock To Open A Roller Shutter, Removing A Glass Pane From A Door And Using A Multi Tool To Force A Security Gate.","Bolt-Cutter, Multi-Tool And 2 X Screw Drivers",,"A False Alarm With Good Intent, Due To Smoke From A Smoke Machine Attached To The Alarm System Being Mistaken For Shop Alight",,,,,,,,"Removed A Glass From A Door, Forced A Security Gate And Cut A Padlock",,,,,,,,,,,1,,,,East,Belhar|Ottery|Goodwood,Category 1|No Charge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F1606/1597,Commercial,Shop,1606,06/30/2016,20:25|20:27|20:27|20:27,11|Telephone direct|Telephone|T,Wood And Iron Structure / S Hcom - Malcolm,MANDELA PARK (IMIZAMO YETHU) INFORMAL SETTLEMENT,,HOUT BAY ROAD (M63),HOUT BAY,SOUTH PENINSULA,83,"CO/15,16",,,,F=HBY,00:14|00:15|00:03|00:12,Fire - manually extinguished,Commercial|Shops,Overcast,Strong,0 - 10 Deg,Chip Fryer,Minor Structural Fire,Extinguished By Bystanders Before Arrival Of Brigade,Made Sure Area Is Safe,Nil,Cooking,Oil In Electrical Chip Fryer Over Heating And Ignited.,,,,,Chip Fryer Damaged By Fire,,,,,,,,,,,,,,1,,,,West,Hout Bay,Category 1|No Charge,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1530952368
F1604/0788,Commercial,Offices,1604,04/13/2016,20:40|20:42|20:42|20:42,"13|Direct 107""|Direct ""107"" call|D""",Hall Alight,Community Hall,.,NXANXADI CRESCENT,PHILIPPI EAST,CAPE TOWN,124(14TH EDITION),CM/46,,Nkwilo,,F=GTU,00:49|00:49|00:33,Fire - manually extinguished,N/A,Fine,Light Breeze,10 - 15 Deg,"Office Equipment Like Chair, Table And Possibly A Pa System Etc.",Average Vegetation Fire,Fire Extinguished Prior The Arrival Of Brigade With A Fixed Fire Hose By Members Of The Public,Made Sure That The Area Is Safe,Thermal Image Camera,Arson,Suspected Arson Pending The Police Investigation,,,,,"Building:ceiling, Windows, Walls And Floor Slight By Fire, Heat, Smoke And Water.|Contents:chair, Possible Pa System Severe By Fire, Heat, Smoke And Water.",,,,,,,,,,,,,,,,,,East,Lansdowne|Guguletu|Belhar,Category 1|No Charge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1524126157
F1604/0816,Commercial,Other,1604,04/14/2016,13:29|13:30|13:30|13:30,41|Radio|Radio|R,Building Alight,,,Salt River Circle,SALT RIVER,CAPE TOWN,CA/CB-28/29,27,,,,F=SLR,02:13|02:00|02:02|01:35|02:13|02:00,Fire - manually extinguished,Commercial|Offices,Clear,Light Breeze,20 - 25 Deg,"Wood And Iron Structures, Plumbing Stock, Clothes, Personal Affects Ect.",Minor Structural Fire,,Extinguished Fire With One Fog Jet From E42a M/P And One Jet From E14 M/P.,"1 X Hose Reel, 3 X 65mm Hose, 2 X 45mm Hose, 2 X Standpipe And Key, 2 X Roof Ladders, 1 X Ceiling Hook And 1 X Akron Branch.",Undetermined,Unknown.,70000,,MP|MP|SH|SH|WT,01:45:00 AM,"Wood And Iron Structures(4) And One Brick And Concrete Building Measuring 5 X 7 Metres Under Asbestos Roof In Enclosed Grounds With Contents Severe By Fire, Heat, Smoke And Water. Saltriver Market Building Unit 15: Stock Room: Windows, Wall And Roof Rafters Where Fire Broke Through Damage By Fire, Heat, Smoke And Water. Rest Of Building Slight Smoke And Water Damage. Contents: +- 15 Boxes Of Stock Damage By Fire, Heat, Smoke And Water. Rest Of Stock Slight Water And Smoke Damage.",,,,,,,,,,,,,,1,1,,,West,Salt River|Brooklyn|Epping|Roeland Street|Ottery,Category 2|Commercial (Low Risk),,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1526829242
F1604/0911,Commercial,Offices,1604,04/16/2016,00:06|00:08|00:08|00:08,"13|Direct 107""|Direct ""107"" call|D""",House Alight,246,,IMAM HARON ROAD ( LANSDOWNE ROAD ),CLAREMONT,,120 / 121,CJ 27.28.29.30.31.32.33,,Garfield Road,,F=WBG,01:43|01:50|01:46,Fire - manually extinguished,Commercial|Offices,Overcast,Moderate,10 - 15 Deg,Office Furniture And Personal Effects Etc,Average Structural Fire,,Extinguished With 2 Fog Jets From E12(14400litres),2 X Hosereels,Arson,Suspected Arson Pending Saps Investigation,14400,,MP|SH,01:00:00 AM,"Building:entire Building, Roof, Ceiling, Walls, Doors And Floors Severe By Fire, Heat, Smoke And Water.|Contents:contents Consisting Ofoffice Furniture And Equipment Severe By Fire, Heat, Smoke And Water.",,,,,,,,,,,,,,1,1,,,West,Wynberg|Salt River|Roeland Street,Category 2|Commercial (Low Risk),,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1524227526
