,,,,,,,,,,,,,,,,,,,,,,,,,
"*** Query Name:Query 1 ***

    Start Date : 10/1/2016 12:00:00 AM
30007266,MOTOR VEHICLE ACCIDENT,MOTOR VEHICLE ACCIDENT (MVA),11/20/2016 3:25:35 AM,,CHAPMANS PEAK DRIVE,CAPE FARMS - DISTRICT H,Special Service,,,,,CMR Rescue services rendering medical assistance.,,,,,,,,,,,,,West
30007267,OTHER FIRE,"OTHER FIRE - RUBBISH, GRASS AND BUSH",11/20/2016 3:30:17 AM,,LAKPYPIE CLOSE,ROOSENDAL,Fire manually extinguished,,10 - 15 Deg,Light Breeze,Clear,,5 - 10 min,,,"1,200",,,0,0,,,Department of Transport and Public Works,,East
30007268,TRAUMA EMERGENCY - ASSAULT,TRAUMA - ASSAULT - WEAPON (GUNSHOT),11/20/2016 3:39:49 AM,,JEFF MASEMOLA ROAD,MXOLISI PHETANI,Special Service,,,,,,,,,,,,0,0,,,,,East
30007269,TRAUMA EMERGENCY - ASSAULT,TRAUMA - ASSAULT - PHYSICAL,11/20/2016 4:26:52 AM,23,SEA COTTAGE CRESCENT,MILNERTON,Special Service,,,,,"Two patients brought to station by private transport. First Patient: Adult Female sustained laceration ± 5cm to left forearm and wrist area, Patient was assaulted with glass bottle. Second  Patient: Adult Male sustained laceration ± 3cm to left hand, Patient was assaulted with knife.",,,,,,,0,0,,,,,North
30007270,MOTOR VEHICLE ACCIDENT,MOTOR VEHICLE ACCIDENT (MVA),11/20/2016 5:45:03 AM,,SETTLERS DRIVE,MONTANA,Special Service,,,,,metro ambulance 85 in attendance,,,,,,,0,0,,,,,East
30007271,OTHER FIRE,"OTHER FIRE - RUBBISH, GRASS AND BUSH",11/20/2016 7:21:20 AM,,ELSIES RIVER HALT ROAD,ELSIES RIVER,Fire manually extinguished,,10 - 15 Deg,Light Breeze,Overcast,nil,10 - 15 min,,,"1,800",,,0,0,,,city of cape town,,North
30007271,OTHER FIRE,"OTHER FIRE - RUBBISH, GRASS AND BUSH",11/20/2016 7:21:20 AM,,ELSIES RIVER HALT ROAD,ELSIES RIVER,Fire manually extinguished,,10 - 15 Deg,Light Breeze,Overcast,nil,,Street Hydrant,,0,,,0,0,,,city of cape town,,North
30007272,RESIDENTIAL FIRE,RESIDENTIAL FIRE - INFORMAL,11/19/2016 11:38:56 PM,,TIGER VALLEY ROAD,MODDERDAM,Fire manually extinguished,,10 - 15 Deg,Light Breeze,Clear,,25 - 30 min,Water Tanker,,0,,"entire structure severe by fire, heat, smoke and water","1,500","3,500",,,City of Cape Town,,East
30007272,RESIDENTIAL FIRE,RESIDENTIAL FIRE - INFORMAL,11/19/2016 11:38:56 PM,,TIGER VALLEY ROAD,MODDERDAM,Fire manually extinguished,,10 - 15 Deg,Light Breeze,Clear,,25 - 30 min,,,0,,"entire structure severe by fire, heat, smoke and water","1,500","3,500",,,City of Cape Town,,East
30007272,RESIDENTIAL FIRE,RESIDENTIAL FIRE - INFORMAL,11/19/2016 11:38:56 PM,,TIGER VALLEY ROAD,MODDERDAM,Fire manually extinguished,,10 - 15 Deg,Light Breeze,Clear,,,,,0,,"entire structure severe by fire, heat, smoke and water","1,500","3,500",,,City of Cape Town,,East
30007273,OTHER FIRE,"OTHER FIRE - RUBBISH, GRASS AND BUSH",11/19/2016 11:47:00 PM,,N7,DUNOON,False Alarm - Good Intent,,,,,,,,,,,,0,0,,,,,North
30007274,TRAUMA EMERGENCY - ASSAULT,TRAUMA - ASSAULT - PHYSICAL,11/19/2016 11:49:07 PM,ROOM 16,MNQANQENI,GUGULETU,Special Service,,,,,,,,,,,,,,,,,,East
30007275,RESIDENTIAL FIRE,RESIDENTIAL FIRE - INFORMAL,11/20/2016 12:23:07 AM,89,KRYMEKAAR AVENUE,MARVINPARK,Fire manually extinguished,,15 - 20 Deg,,Fine,The occupants attempted to extinguish the fire with buckets and garden hoses.,25 - 30 min,Water Tanker,,"40,000",,"Dwelling, kitchen at rear, roof, roofing timbers, ceiling, walls, window, door and floor severe by fire, heat smoke and water. The remainder slight by heat, smoke and water only.","10,000","50,000",1,,City of Cape Town,Mrs F.P Lott,East
30007275,RESIDENTIAL FIRE,RESIDENTIAL FIRE - INFORMAL,11/20/2016 12:23:07 AM,89,KRYMEKAAR AVENUE,MARVINPARK,Fire manually extinguished,,15 - 20 Deg,,Fine,The occupants attempted to extinguish the fire with buckets and garden hoses.,25 - 30 min,,,0,,"Dwelling, kitchen at rear, roof, roofing timbers, ceiling, walls, window, door and floor severe by fire, heat smoke and water. The remainder slight by heat, smoke and water only.","10,000","50,000",1,,City of Cape Town,Mrs F.P Lott,East
30007275,RESIDENTIAL FIRE,RESIDENTIAL FIRE - INFORMAL,11/20/2016 12:23:07 AM,89,KRYMEKAAR AVENUE,MARVINPARK,Fire manually extinguished,,15 - 20 Deg,,Fine,The occupants attempted to extinguish the fire with buckets and garden hoses.,25 - 30 min,,,"3,000",,"Dwelling, kitchen at rear, roof, roofing timbers, ceiling, walls, window, door and floor severe by fire, heat smoke and water. The remainder slight by heat, smoke and water only.","10,000","50,000",1,,City of Cape Town,Mrs F.P Lott,East
30007276,TRAUMA EMERGENCY - ASSAULT,TRAUMA - ASSAULT - WEAPON (OTHER),11/20/2016 12:44:47 AM,,CASTLE STREET,FORESHORE,Special Service,,,,,,,,,,,,0,0,,,,,West
30007277,SPECIAL INCIDENTS - FIRE SERVICE,FIRE SERVICE MISCELLANEOUS - ASSIST PRIVATE COMPAN,11/20/2016 12:48:50 AM,4,CHILDRENS WAY,WOODLANDS,Special Service,,,,,,,,,,,,,,,,,,East
30007278,RESIDENTIAL FIRE,RESIDENTIAL FIRE - INFORMAL,11/20/2016 12:58:42 AM,112,HEMPE STREET,UMRHABULO TRIANGLE,Fire manually extinguished,,15 - 20 Deg,Light Breeze,Fine,,,,,,,,0,0,,,Warrington Tembele Nkweba,unknown,East
30007279,MOTOR VEHICLE ACCIDENT,MOTOR VEHICLE ACCIDENT (MVA),11/20/2016 1:38:09 AM,2,REGENT STREET,WELTEVREDEN VALLEY,Special Service - False Good Intent,,,,,,,,,,,,,,,,,,East
30007280,OTHER FIRE,"OTHER FIRE - RUBBISH, GRASS AND BUSH",11/20/2016 1:53:00 AM,90,ST EDWARD ROAD,SEAWINDS,Fire manually extinguished,,10 - 15 Deg,,Fine,,5 - 10 min,,,500,,,0,0,,,City of Cape Town,,West
30007281,TRAUMA EMERGENCY - ASSAULT,TRAUMA - ASSAULT - WEAPON (OTHER),11/20/2016 2:02:40 AM,,SABELO SITHOLE STREET,GUGULETU,,,,,,,,,,,,,,,,,,,
30007282,MEDICAL EMERGENCY,MEDICAL - OBSTETRIC COMPLAINT,11/20/2016 2:15:47 AM,,HOUT BAY MAIN ROAD,HOUT BAY,Special Service,,,,,,,,,,,,,,,,,,West
30007283,RESIDENTIAL FIRE,RESIDENTIAL FIRE - INFORMAL,11/20/2016 2:19:20 AM,,JOE SLOVO STREET,PHILIPPI,Fire manually extinguished,,15 - 20 Deg,Moderate,Clear,"FIRE EXTINGUISHED BY OCCUPANTS, ONE ADULT FEMALE SUSTAINED BURNS TO LEGS",,,,,,,"1,000","2,000",,1,NOTAKA SOPHIE MLINJANA,EDDIE NDEVANE 0610460515,East
30007284,OTHER FIRE,"OTHER FIRE - RUBBISH, GRASS AND BUSH",11/20/2016 4:16:01 AM,,  ROAD,PARKWOOD,,,,,,,,,,,,,,,,,,,
30007285,MOTOR VEHICLE ACCIDENT,MOTOR VEHICLE ACCIDENT (MVA),11/20/2016 4:45:41 AM,,N1 HIGHWAY,LOEVENSTEIN,Special Service,,,,,,,,,,,,,,,,,,North
30007286,OTHER FIRE,"OTHER FIRE - RUBBISH, GRASS AND BUSH",11/20/2016 4:58:42 AM,,N2,MACASSAR,Fire manually extinguished,,15 - 20 Deg,Light Breeze,Fine,,5 - 10 min,,,120,,,0,0,,,City of Cape Town,,East
30007287,OTHER FIRE,"OTHER FIRE - RUBBISH, GRASS AND BUSH",11/20/2016 4:59:06 AM,,OLD SIR LOWRYS PASS ROAD,STELLENBOSCH FARMS,Fire manually extinguished,,15 - 20 Deg,,Fine,The owner also assisted with one front end loader as well as two hose pipes,25 - 30 min,Water Tanker,625Kpa 19mm Nozzle,"7,200",,,0,0,,,FRENCH ROSE 15 PROPRIETARY LIMITED,,East
30007287,OTHER FIRE,"OTHER FIRE - RUBBISH, GRASS AND BUSH",11/20/2016 4:59:06 AM,,OLD SIR LOWRYS PASS ROAD,STELLENBOSCH FARMS,Fire manually extinguished,,15 - 20 Deg,,Fine,The owner also assisted with one front end loader as well as two hose pipes,25 - 30 min,,625Kpa 19mm Nozzle,"7,200",,,0,0,,,FRENCH ROSE 15 PROPRIETARY LIMITED,,East
30007288,RESIDENTIAL FIRE,RESIDENTIAL FIRE - INFORMAL,11/20/2016 5:44:35 AM,,IMBUMBA ROAD,CROSSROADS,Fire manually extinguished,,15 - 20 Deg,Light Breeze,Clear,,15 - 20 min,,,"2,400",,,"5,000","8,000",,1,NOSISEKO CRECH CO-OPERATIVE LIMITED,ZANELE NZIWENI 0782737833;  PECULIAR NOKANDA 078273833,East
30007289,MOTOR VEHICLE ACCIDENT,MOTOR VEHICLE ACCIDENT (MVA),11/20/2016 5:51:51 AM,,SETTLERS DRIVE,MONTANA,Special Service,,,,,metro ambulance 61 & 63 on scene,,,,,,,0,0,,,,,East
30007290,OTHER FIRE,"OTHER FIRE - RUBBISH, GRASS AND BUSH",11/20/2016 7:02:48 AM,,N2,DREAMWORLD,False Alarm - Good Intent,,,,,,,,,,,,,,,,,,East
30007291,OTHER FIRE,"OTHER FIRE - RUBBISH, GRASS AND BUSH",11/20/2016 7:16:12 AM,,UNION STREET,TABLE MOUNTAIN,Fire manually extinguished,,20 - 25 Deg,,Fine,,,Water Tanker,625Kpa 19mm Nozzle,"108,360",,,0,0,,,TABLE MOUNTAIN NATIONAL PARKS,,West
30007292,OTHER FIRE,"OTHER FIRE - RUBBISH, GRASS AND BUSH",11/20/2016 7:41:37 AM,,JEFF MASEMOLA ROAD,SILWERTOWN,Fire manually extinguished,,15 - 20 Deg,Light Breeze,Clear,Extinguished the fire with one fog jet from E18.,0 - 5 min,,,0,,,,,,,Unknown,,East
30007293,OTHER FIRE,"OTHER FIRE - RUBBISH, GRASS AND BUSH",11/20/2016 8:16:31 AM,,KRAMAT ROAD,MACASSAR,Fire manually extinguished,,15 - 20 Deg,Light Breeze,Fine,,0 - 5 min,,,600,,,0,0,,,Mr Fiadows Gafoor,,East
30007294,OTHER FIRE,"OTHER FIRE - RUBBISH, GRASS AND BUSH",11/20/2016 8:58:23 AM,,CHAPMANS PEAK DRIVE,NOORDHOEK,False Alarm - Good Intent,,,,,"fire burnt itself out therefore brigade was unable to find it.
",,,,0,,,,,,,,,West
30007295,OTHER FIRE,OTHER FIRE - MISCELLANEOUS FIRES,11/20/2016 9:05:54 AM,20,BLOEM STREET,CAPE TOWN CITY CENTRE,Fire manually extinguished,,20 - 25 Deg,Light Breeze,Fine,,,,,,,,,,,,,,West
30007296,ALARMS,COCT ALARMS - BURGLAR,11/20/2016 9:39:28 AM,21,RADNOR STREET,PAROW INDUSTRIA,False Alarm - Good Intent,,,,,,,,,,,,0,0,,,,,East
30007297,OTHER FIRE,"OTHER FIRE - RUBBISH, GRASS AND BUSH",11/20/2016 9:52:24 AM,,STELLENBOSCH ROAD,CAPE TOWN AIRPORT,Fire manually extinguished,,20 - 25 Deg,Light Breeze,Fine,,10 - 15 min,Skid Unit,,500,,,,,,,CITY OF CAPE TOWN(ERF 17470),,East
30007297,OTHER FIRE,"OTHER FIRE - RUBBISH, GRASS AND BUSH",11/20/2016 9:52:24 AM,,STELLENBOSCH ROAD,CAPE TOWN AIRPORT,Fire manually extinguished,,20 - 25 Deg,Light Breeze,Fine,,20 - 25 min,,,"2,500",,,,,,,CITY OF CAPE TOWN(ERF 17470),,East
30007298,OTHER FIRE,"OTHER FIRE - RUBBISH, GRASS AND BUSH",11/20/2016 10:29:47 AM,,300,PHILIPPI,False Alarm - Good Intent,,,,,,,,,,,,,,,,,,East
30007299,MOTOR VEHICLE ACCIDENT,MOTOR VEHICLE ACCIDENT (MVA),11/20/2016 10:33:54 AM,,BHUNGA AVENUE,LANGA,False Alarm - Good Intent,,,,,,,,,,,,0,0,,,,,North
30007300,OTHER FIRE,"OTHER FIRE - RUBBISH, GRASS AND BUSH",11/20/2016 10:35:35 AM,,304,CAPE FARMS - DISTRICT B,Fire manually extinguished,,25 - 30 Deg,Light Breeze,Clear,,15 - 20 min,Bush Tanker,625Kpa 19mm Nozzle,"1,000",,,,,,,khamiella soloman pobox 5562 cape town 8001,,North
30007301,MEDICAL EMERGENCY,MEDICAL - OBSTETRIC COMPLAINT,11/20/2016 11:07:31 AM,,JEFF MASEMOLA ROAD,MXOLISI PHETANI,,,,,,,,,,,,,,,,,,,
30007302,OTHER FIRE,"OTHER FIRE - RUBBISH, GRASS AND BUSH",11/20/2016 7:44:24 AM,,N2,STELLENBOSCH FARMS,Fire manually extinguished,,15 - 20 Deg,Light Breeze,Clear,,25 - 30 min,,625Kpa 13mm Nozzle,"2,500",,,0,0,,,TBA,,East
30007303,TRAUMA EMERGENCY - ASSAULT,TRAUMA - ASSAULT - PHYSICAL,11/20/2016 8:47:16 AM,,HOUT BAY MAIN ROAD,HOUT BAY,Special Service,,,,,,,,,,,,,,,,,,West
30007304,OTHER FIRE,"OTHER FIRE - RUBBISH, GRASS AND BUSH",11/20/2016 10:07:57 AM,,SYMPHONY DRIVE,BELHAR EXT 6,Fire manually extinguished,,20 - 25 Deg,Moderate,Fine,,0 - 5 min,Skid Unit,625Kpa 13mm Nozzle,500,,,0,0,,,University of western cape,,East
30007304,OTHER FIRE,"OTHER FIRE - RUBBISH, GRASS AND BUSH",11/20/2016 10:07:57 AM,,SYMPHONY DRIVE,BELHAR EXT 6,Fire manually extinguished,,20 - 25 Deg,Moderate,Fine,,,,,0,,,0,0,,,University of western cape,,East
30007305,VEHICLE MOVEMENT,OPERATIONAL STANDBY,11/20/2016 10:33:05 AM,,MAIN ROAD,SIMON'S TOWN,,,,,,,,,,,,,,,,,,,
30007306,OTHER FIRE,"OTHER FIRE - RUBBISH, GRASS AND BUSH",11/20/2016 10:56:32 AM,,THOMAS WILLIAMS CRESCENT,ATLANTIS INDUSTRIAL,Fire manually extinguished,,20 - 25 Deg,Light Breeze,Clear,,25 - 30 min,,,"9,000",,,0,0,,,City of Cape Town,,North
30007307,OTHER FIRE,"OTHER FIRE - RUBBISH, GRASS AND BUSH",11/20/2016 11:49:33 AM,,SIMONSBERG STREET,GREENFIELDS,,,,,,,,,,,,,,,,,,,
30007308,TRAUMA EMERGENCY - ACCIDENTAL INJURY,TRAUMA - ACCIDENTAL INJURY - DOMESTIC,11/20/2016 12:11:28 PM,,SABELO SITHOLE STREET,GUGULETU,,,,,,,,,,,,,,,,,,,
30007309,OTHER FIRE,"OTHER FIRE - RUBBISH, GRASS AND BUSH",11/20/2016 12:23:38 PM,1,GOOD HOPE ROAD,SAREPTA,,,,,,,,,,,,,,,,,,,
30007310,MOTOR VEHICLE ACCIDENT,MOTOR VEHICLE ACCIDENT (MVA),11/20/2016 1:17:41 PM,,ROBERT SOBUKWE ROAD,MONTANA,Special Service,,,,,,,,,,,,0,0,,,,,North
30007311,OTHER FIRE,"OTHER FIRE - RUBBISH, GRASS AND BUSH",11/20/2016 1:33:52 PM,,KLIPFONTEIN ROAD,BRIDGETOWN,Fire manually extinguished,,15 - 20 Deg,Light Breeze,Clear,,25 - 30 min,,,"3,000",,,0,0,,,CAPE MENTAL HEALTH SOCIETY,,West
30007311,OTHER FIRE,"OTHER FIRE - RUBBISH, GRASS AND BUSH",11/20/2016 1:33:52 PM,,KLIPFONTEIN ROAD,BRIDGETOWN,Fire manually extinguished,,15 - 20 Deg,Light Breeze,Clear,,,Water Tanker,,0,,,0,0,,,CAPE MENTAL HEALTH SOCIETY,,West
30007312,MOTOR VEHICLE ACCIDENT,PEDESTRIAN VEHICLE ACCIDENT (PVA ),11/20/2016 11:13:33 AM,,KROMBOOM 1054,MOWBRAY,Special Service - False Good Intent,,,,,,,,,,,,,,,,,,West
30007313,OTHER FIRE,"OTHER FIRE - RUBBISH, GRASS AND BUSH",11/20/2016 11:17:11 AM,,JAKES GERWEL DRIVE,WESTGATE,Fire manually extinguished,,20 - 25 Deg,Light Breeze,Fine,,10 - 15 min,Bush Tanker,625Kpa 13mm Nozzle,"1,800",,,0,0,,,ASMA FAMILY TRUST.LIS KEY:15683241,,East
30007313,OTHER FIRE,"OTHER FIRE - RUBBISH, GRASS AND BUSH",11/20/2016 11:17:11 AM,,JAKES GERWEL DRIVE,WESTGATE,Fire manually extinguished,,20 - 25 Deg,Light Breeze,Fine,,10 - 15 min,,625Kpa 13mm Nozzle,"1,800",,,0,0,,,ASMA FAMILY TRUST.LIS KEY:15683241,,East
30007314,OTHER FIRE,"OTHER FIRE - RUBBISH, GRASS AND BUSH",11/20/2016 11:20:18 AM,,WELTEVREDEN ROAD,ROCKLANDS,,,,,,,,,,,,,,,,,,,
30007315,OTHER FIRE,"OTHER FIRE - RUBBISH, GRASS AND BUSH",11/20/2016 11:22:10 AM,,BUCK ROAD,LOTUS RIVER,Fire manually extinguished,,20 - 25 Deg,Light Breeze,Clear,,5 - 10 min,,,"1,200",,,0,0,,,DEPARTMENT OF TRANSPORT AND PUBLIC WORKS,,West
30007316,OTHER FIRE,"OTHER FIRE - RUBBISH, GRASS AND BUSH",11/20/2016 11:22:53 AM,,MACASSAR ROAD,MACASSAR,Fire manually extinguished,,20 - 25 Deg,Light Breeze,Fine,,,,625Kpa 13mm Nozzle,"12,690",,,0,0,,,City Of Cape Town,,East
30007317,OTHER FIRE,"OTHER FIRE - RUBBISH, GRASS AND BUSH",11/20/2016 11:31:35 AM,,NEW EISLEBEN ROAD,NEW WOODLANDS,False Alarm - Good Intent,,,,,,,,,,,,0,0,,,,,East
30007318,OTHER FIRE,"OTHER FIRE - RUBBISH, GRASS AND BUSH",11/20/2016 11:37:42 AM,24,OLD SIR LOWRYS PASS ROAD,STELLENBOSCH FARMS,False Alarm - Malicious,,,,,,,,,,,,,,,,,,East
30007319,OTHER FIRE,"OTHER FIRE - RUBBISH, GRASS AND BUSH",11/20/2016 11:43:09 AM,,DONEGAL AVENUE,CONNAUGHT,False Alarm - Good Intent,,,,,,,,,,,,0,0,,,,,East
30007320,OTHER FIRE,"OTHER FIRE - RUBBISH, GRASS AND BUSH",11/20/2016 11:47:54 AM,48,VICTORIA CRESCENT,SUMMER GREENS,Fire manually extinguished,,25 - 30 Deg,Moderate,Clear,nil,15 - 20 min,,,500,,,,,,,transnet ltd,enclosed vacant ground,North
30007320,OTHER FIRE,"OTHER FIRE - RUBBISH, GRASS AND BUSH",11/20/2016 11:47:54 AM,48,VICTORIA CRESCENT,SUMMER GREENS,Fire manually extinguished,,25 - 30 Deg,Moderate,Clear,nil,20 - 25 min,,625Kpa 13mm Nozzle,0,,,,,,,transnet ltd,enclosed vacant ground,North
30007321,OTHER FIRE,"OTHER FIRE - RUBBISH, GRASS AND BUSH",11/20/2016 11:48:22 AM,,FOURTEENTH AVENUE,LAVENDER HILL,Fire manually extinguished,,20 - 25 Deg,Moderate,Overcast,A large area of vegetation alight.,25 - 30 min,Water Tanker,625Kpa 19mm Nozzle,"6,000",,,0,0,,,"City of Cape Town, No.12 hertzog Boulevard, Cape Town, 8000.",,West
30007322,OTHER FIRE,"OTHER FIRE - RUBBISH, GRASS AND BUSH",11/20/2016 11:51:28 AM,,SUNBIRD DRIVE,SILVERSANDS,Fire manually extinguished,,25 - 30 Deg,Moderate,Clear,NONE,25 - 30 min,,,"3,000",,,0,0,,,,VACANT PLOT,
30007322,OTHER FIRE,"OTHER FIRE - RUBBISH, GRASS AND BUSH",11/20/2016 11:51:28 AM,,SUNBIRD DRIVE,SILVERSANDS,Fire manually extinguished,,25 - 30 Deg,Moderate,Clear,NONE,,Skid Unit,,"1,800",,,0,0,,,,VACANT PLOT,
30007322,OTHER FIRE,"OTHER FIRE - RUBBISH, GRASS AND BUSH",11/20/2016 11:51:28 AM,,SUNBIRD DRIVE,SILVERSANDS,Fire manually extinguished,,25 - 30 Deg,Moderate,Clear,NONE,,Water Tanker,,"6,000",,,0,0,,,,VACANT PLOT,
30007322,OTHER FIRE,"OTHER FIRE - RUBBISH, GRASS AND BUSH",11/20/2016 11:51:28 AM,,SUNBIRD DRIVE,SILVERSANDS,Fire manually extinguished,,25 - 30 Deg,Moderate,Clear,NONE,,,,0,,,0,0,,,,VACANT PLOT,
30007323,OTHER FIRE,"OTHER FIRE - RUBBISH, GRASS AND BUSH",11/20/2016 11:53:15 AM,,  ROAD,WELTEVREDEN VALLEY,Fire manually extinguished,,20 - 25 Deg,,Clear,,5 - 10 min,Water Tanker,625Kpa 19mm Nozzle,"6,020",,,0,0,,,LOGOPROPS 47 LIMITED,,East
30007324,OTHER FIRE,"OTHER FIRE - RUBBISH, GRASS AND BUSH",11/20/2016 12:05:22 PM,,HEUNINGBOS CRESCENT,ROOSENDAL,False Alarm - Good Intent,,,,,,,,,,,,0,0,,,,,East
30007325,MEDICAL EMERGENCY,MEDICAL - UNABLE TO BREATHE,11/20/2016 12:06:38 PM,83,KUNENE WAY,PORTLAND,Special Service - False Good Intent,,,,,patient removed r\prior arrival of brigade.,,,,,,,,,,,,,West
30007326,OTHER FIRE,"OTHER FIRE - RUBBISH, GRASS AND BUSH",11/20/2016 12:14:56 PM,,REUTER ROAD,SAREPTA,Fire manually extinguished,,10 - 15 Deg,Light Breeze,Fine,,10 - 15 min,,,0,,,0,0,,,,,North
30007327,OTHER FIRE,"OTHER FIRE - RUBBISH, GRASS AND BUSH",11/20/2016 12:50:52 PM,,PLATINUM STRAAT,CHRIS NISSEN PARK,Fire manually extinguished,,15 - 20 Deg,Light Breeze,Fine,,5 - 10 min,,625Kpa 13mm Nozzle,"2,000",,,0,0,,,WESTACRE DEVCO PTY.LTD,,East
30007328,MOTOR VEHICLE ACCIDENT,MOTOR VEHICLE ACCIDENT (MVA),11/20/2016 12:52:19 PM,,PLATTEKLOOF ROAD,PLATTEKLOOF 3,Special Service,,,,,Patient was remove to hospital before arrival of brigade,,,,,,,0,0,,,,,North
30007329,OTHER FIRE,"OTHER FIRE - RUBBISH, GRASS AND BUSH",11/20/2016 1:06:22 PM,,OWEN ROAD,CONNAUGHT,Fire manually extinguished,,25 - 30 Deg,Moderate,Fine,,0 - 5 min,,625Kpa 13mm Nozzle,500,,,0,0,,,Transport and Public works,,East
30007330,OTHER FIRE,"OTHER FIRE - RUBBISH, GRASS AND BUSH",11/20/2016 1:14:11 PM,,OAK STREET,MISSION GROUNDS,Fire manually extinguished,,15 - 20 Deg,Moderate,Fine,,25 - 30 min,Water Tanker,625Kpa 13mm Nozzle,"8,000",,,,,,,Potters mill Investments PTY.LTD,,East
30007330,OTHER FIRE,"OTHER FIRE - RUBBISH, GRASS AND BUSH",11/20/2016 1:14:11 PM,,OAK STREET,MISSION GROUNDS,Fire manually extinguished,,15 - 20 Deg,Moderate,Fine,,25 - 30 min,,625Kpa 13mm Nozzle,"6,000",,,,,,,Potters mill Investments PTY.LTD,,East
30007331,OTHER FIRE,"OTHER FIRE - RUBBISH, GRASS AND BUSH",11/20/2016 1:23:59 PM,,BORCHERDS QUARRY ROAD,,Fire manually extinguished,,20 - 25 Deg,Moderate,Fine,,0 - 5 min,,,600,,,0,0,,,City of Cape Town,,East
30007332,OTHER FIRE,"OTHER FIRE - RUBBISH, GRASS AND BUSH",11/20/2016 1:29:13 PM,,LAZENA FIRLANDS ROAD,FIRLANDS,False Alarm - Good Intent,,,,,,,,,,,,0,0,,,,,East
30007333,OTHER FIRE,"OTHER FIRE - RUBBISH, GRASS AND BUSH",11/20/2016 1:34:25 PM,,NEW EISLEBEN ROAD,PHILIPPI,,,,,,,,,,,,,,,,,,,
30007334,OTHER FIRE,"OTHER FIRE - RUBBISH, GRASS AND BUSH",11/20/2016 1:42:02 PM,2,MAIN ROAD,MALMESBURY FARMS,Fire manually extinguished,,25 - 30 Deg,Light Breeze,Clear,,10 - 15 min,Bush Tanker,625Kpa 13mm Nozzle,"1,000",,,,,,,MAMRE COMMUNIAL PROPERTY ASSOC PO.BOX 27 MAMRE 7347,,North
30007335,OTHER FIRE,"OTHER FIRE - RUBBISH, GRASS AND BUSH",11/20/2016 1:43:40 PM,,GREAT FISH CRESCENT,WIMBLEDON ESTATE,False Alarm - Good Intent,,,,,,,,,,,,,,,,,,East
30007336,OTHER FIRE,"OTHER FIRE - RUBBISH, GRASS AND BUSH",11/20/2016 1:57:21 PM,26,STRANDLOPER CRESCENT,PAARDE VLEI,Fire manually extinguished,,20 - 25 Deg,Moderate,Overcast,Nil,10 - 15 min,,625Kpa 13mm Nozzle,"1,500",,,0,0,,,City of Cape Town,,East
30007337,OTHER FIRE,"OTHER FIRE - RUBBISH, GRASS AND BUSH",11/20/2016 2:09:44 PM,,GOVAN MBEKI ROAD,PHILIPPI,Fire manually extinguished,,20 - 25 Deg,Moderate,Fine,,,,625Kpa 19mm Nozzle,"1,410",,,0,0,,,Power Development Projects (PTY) LTYD,,East
30007338,OTHER FIRE,"OTHER FIRE - RUBBISH, GRASS AND BUSH",11/20/2016 2:23:13 PM,,PRINCE GEORGE DRIVE,MUIZENBERG,Fire manually extinguished,,20 - 25 Deg,Moderate,Overcast,A small area of vegetation alight.,15 - 20 min,Water Tanker,625Kpa 13mm Nozzle,"1,500",,,0,0,,,"City of Cape Town, No.12 Hertzog Boulevard, Cape Town, 8000.",,West
30007339,OTHER FIRE,"OTHER FIRE - RUBBISH, GRASS AND BUSH",11/20/2016 2:26:15 PM,,FRANCOLIN CRESCENT,SEAWINDS,,,,,,,,,,,,,,,,,,,
30007340,OTHER FIRE,"OTHER FIRE - RUBBISH, GRASS AND BUSH",11/20/2016 2:28:32 PM,,TAFELBERG ROAD,CAPE TOWN AIRPORT,Fire manually extinguished,,25 - 30 Deg,Moderate,Fine,,5 - 10 min,,625Kpa 19mm Nozzle,"2,000",,,0,0,,,City of Capetown,,East
30007341,OTHER FIRE,"OTHER FIRE - RUBBISH, GRASS AND BUSH",11/20/2016 2:38:06 PM,,SYBILLE CRESCENT,SAXONSEA,False Alarm - Malicious,,,,,,,,,,,,,,,,,,North
30007342,OTHER FIRE,"OTHER FIRE - RUBBISH, GRASS AND BUSH",11/20/2016 1:42:57 PM,,SAREL VAN DEVENTER ROAD,KRAAIFONTEIN,,,,,,,,,,,,,,,,,,,
30007343,OTHER FIRE,"OTHER FIRE - RUBBISH, GRASS AND BUSH",11/20/2016 2:22:23 PM,,WELLINGTON STREET,DURMONTE,Fire manually extinguished,,25 - 30 Deg,Light Breeze,Clear,Nil,25 - 30 min,,,"3,000",,,,,,,"Road trustees, Pretoria 0001",,North
30007344,MOTOR VEHICLE ACCIDENT,MOTOR VEHICLE ACCIDENT (MVA),11/20/2016 3:18:40 PM,,TOWNSEND STREET,TOWNSEND ESTATE,Special Service,,,,,,,,,,,,0,0,,,,,North
30007345,OTHER FIRE,"OTHER FIRE - RUBBISH, GRASS AND BUSH",11/20/2016 3:53:23 PM,,EOAN DRIVE,SCOTTSDENE,Fire manually extinguished,,10 - 15 Deg,Light Breeze,Fine,,15 - 20 min,,,0,,,0,0,,,CITY OF CAPE TOWN,,North
30007346,MOTOR VEHICLE ACCIDENT,MOTOR VEHICLE ACCIDENT (MVA),11/20/2016 4:01:26 PM,,VUKUKHANYE STREET,GUGULETU,Special Service,,,,,1 X ADULT MALE WAS ALREADY LOADED FOR TRANSPORTATION BY METRO AMBULANCE SERVICES,,,,,,,0,0,,,,,East
